name,smiles,atoms,symbol,label,labelW
Me,C,1,Me,Me,Me
Me,C,1,CH3,CH<sub>3</sub>,H<sub>3</sub>C
Et,CC,2,Et,Et,Et
Et,CC,2,CH2CH3,CH<sub>2</sub>CH<sub>3</sub>,H<sub>3</sub>CH<sub>2</sub>C
nPr,CCC,3,Pr,Pr,Pr
nPr,CCC,3,nPr,nPr,nPr
nPr,CCC,3,n-Pr,n-Pr,n-Pr
iPr,C(C)C,3,iPr,iPr,iPr
iPr,C(C)C,3,i-Pr,i-Pr,i-Pr
iPr,C(C)C,3,CH(CH3)2,CH(CH<sub>3</sub>)<sub>2</sub>,(H<sub>3</sub>C)<sub>2</sub>HC'
nBu,CCCC,4,Bu,Bu,Bu
nBu,CCCC,4,nBu,nBu,nBu
nBu,CCCC,4,n-Bu,n-Bu,n-Bu
nBu,CCCC,4,n-Butyl,n-Butyl,n-Butyl
iBu,CC(C)C,4,iBu,iBu,iBu
iBu,CC(C)C,4,i-Bu,i-Bu,i-Bu
iBu,(C)C,4,i-Butyl,i-Butyl,i-Butyl
sBu,C(C)CC,4,sBu,sBu,sBu
sBu,C(C)CC,4,s-Bu,s-Bu,s-Bu
sBu,C(C)CC,4,s-Butyl,s-Butyl,s-Butyl
tBu,C(C)(C)C,4,tBu,tBu,tBu
tBu,C(C)(C)C,4,t-Bu,t-Bu,t-Bu
tBu,C(C)(C)C,4,t-Butyl,t-Butyl,t-Butyl
nAm,CCCCC,5,Am,Am,Am
nAm,CCCCC,5,nAm,nAm,nAm
nAm,CCCCC,5,n-Am,n-Am,n-Am
iAm,CCC(C)C,5,iAm,iAm,iAm
iAm,CCC(C)C,5,i-Am,i-Am,i-Am
sAm,C(C)CCC,5,sAm,sAm,sAm
sAm,C(C)CCC,5,s-Am,s-Am,s-Am
tAm,C(C)(C)CC,5,tAm,tAm,tAm
tAm,C(C)(C)CC,5,t-Am,t-Am,t-Am
CHO,C=O,2,CHO,CHO,OHC
Ac,C(=O)C,3,Ac,Ac,Ac
Ac,C(=O)C,3,COMe,COMe,MeOC
Ac,C(=O)C,3,COCH3,COCH<sub>3</sub>,H<sub>3</sub>COC
COEt,C(=O)CC,4,COEt,COEt,EtOC
COCO,C(=O)C=O,4,COCO,COCO,OCOC
CONHMe,C(=O)NC,4,CONHMe,CONHMe,MeHNOC
CONHEt,C(=O)NCC,5,CONHEt,CONHEt,EtHNOC
COO-,C(=O)[O-],3,COO-,COO<sup>-</sup>,<sup>-</sup>OOC
COO-,C(=O)[O-],3,CO2-,CO<sub>2</sub><sup>-</sup>,<sup>-</sup>O<sub>2</sub>C
COOH,C(=O)[OH],3,COOH,COOH,HOOC
COOH,C(=O)[OH],3,CO2H,CO<sub>2</sub>H,HO<sub>2</sub>C
COOMe,C(=O)OC,4,COOMe,COOMe,MeOOC
COOMe,C(=O)OC,4,CO2Me,CO<sub>2</sub>Me,MeO<sub>2</sub>C
COOMe,C(=O)OC,4,COOCH3,COOCH<sub>3</sub>,H<sub>3</sub>COOC
COOEt,C(=O)OCC,5,COOEt,COOEt,EtOOC
COOEt,C(=O)OCC,5,CO2Et,CO<sub>2</sub>Et,EtO<sub>2</sub>C
CONMe2,C(=O)N(C)C,5,CONMe2,CONMe<sub>2</sub>,Me<sub>2</sub>NOC
CN,C#N,2,CN,CN,NC
CF3,C(F)(F)F,4,CF3,CF<sub>3</sub>,F<sub>3</sub>C
CF2CF3,C(F)(F)C(F)(F)F,7,CF2CF3,CF<sub>2</sub>CF<sub>3</sub>,F<sub>3</sub>CF<sub>2</sub>C
CCl3,C(Cl)(Cl)Cl,4,CCl3,CCl<sub>3</sub>,Cl<sub>3</sub>C
CBr3,C(Br)(Br)Br,4,CBr3,CBr<sub>3</sub>,Br<sub>3</sub>C
OMe,OC,2,OMe,OMe,MeO
OMe,OC,2,OCH3,OCH<sub>3</sub>,H<sub>3</sub>CO
OEt,OCC,3,OEt,OEt,EtO
OEt,OCC,3,OCH2CH3,OCH<sub>2</sub>CH<sub>3</sub>,H<sub>3</sub>CH<sub>2</sub>CO
OiBu,OCC(C)C,5,OiBu,OiBu,iBuO
OAc,OC(=O)C,4,OAc,OAc,AcO
OAc,OC(=O)C,4,OCHO,OCHO,OHCO
ONO2,O[N+](=O)[O-],4,ONO2,ONO<sub>2</sub>,O<sub>2</sub>NO
OCF3,OC(F)(F)F,5,OCF3,OCF<sub>3</sub>,F<sub>3</sub>CO
OCCl3,OC(Cl)(Cl)Cl,5,OCCl3,OCCl<sub>3</sub>,Cl<sub>3</sub>CO
OCBr3,OC(Br)(Br)Br,5,OCBr3,OCBr<sub>3</sub>,Br<sub>3</sub>CO
OTf,OS(=O)(=O)C(F)(F)F,8,OTf,OTf,TfO
NHMe,NC,2,NHMe,NHMe,MeHN
NHMe,NC,2,NHCH3,NHCH<sub>3</sub>,H<sub>3</sub>CHN
NMe2,N(C)C,3,NMe2,NMe<sub>2</sub>,Me<sub>2</sub>N
NHEt,NCC,3,NHEt,NHEt,EtHN
NHEt,NCC,3,NHCH2CH3,NHCH<sub>2</sub>CH<sub>3</sub>,H<sub>3</sub>CH<sub>2</sub>CHN
NHAc,NC(=O)C,4,NHAc,NHAc,AcHN
NHAc,NC(=O)C,4,NHCOMe,NHCOMe,MeOCHN
NHOH,NO,2,NHOH,NHOH,HOHN
NO,N=O,2,NO,NO,ON
NO2,[N+](=O)[O-],3,NO2,NO<sub>2</sub>,O<sub>2</sub>N
NC,[N+]#[C-],2,NC,NC,CN
NHCF3,NC(F)(F)F,5,NHCF3,NHCF<sub>3</sub>,F<sub>3</sub>CHN
NCO,N=C=O,3,NCO,NCO,OCN
NCS,N=C=S,3,NCS,NCS,SCN
N3,N=[N+]=[N-],3,N3,N<sub>3</sub>,N<sub>3</sub>
SMe,SC,2,SMe,SMe,MeS
SMe,SC,2,SCH3,SCH<sub>3</sub>,H<sub>3</sub>CS
SO2Me,S(=O)(=O)C,4,SO2Me,SO<sub>2</sub>Me,MeO<sub>2</sub>S
SO2Me,S(=O)(=O)C,4,SO2CH3,SO<sub>2</sub>CH<sub>3</sub>,H<sub>3</sub>CO<sub>2</sub>S
SO2Et,S(=O)(=O)CC,5,SO2Et,SO<sub>2</sub>Et,EtO<sub>2</sub>S
SO2F,S(=O)(=O)F,4,SO2F,SO<sub>2</sub>F,FO<sub>2</sub>S
SO2Cl,S(=O)(=O)Cl,4,SO2Cl,SO<sub>2</sub>Cl,ClO<sub>2</sub>S
SO2Br,S(=O)(=O)Br,4,SO2Br,SO<sub>2</sub>Br,BrO<sub>2</sub>S
SO2I,S(=O)(=O)I,4,SO2I,SO<sub>2</sub>I,IO<sub>2</sub>S
SO3H,S(=O)(=O)[OH],4,SO3H,SO<sub>3</sub>H,HO<sub>3</sub>S
SF5,S(F)(F)(F)(F)F,6,SF5,SF<sub>5</sub>,F<sub>5</sub>S
Tf,S(=O)(=O)C(F)(F)F,7,Tf,Tf,Tf
OTf,OS(=O)(=O)C(F)(F)F,8,OTf,OTf,TfO
NHTf,NS(=O)(=O)C(F)(F)F,8,NHTf,NHTf,TfHN
Tos,S(=O)(=O)c1ccc(C)cc1,10,Tos,Tos,Tos
Tos,S(=O)(=O)c1ccc(C)cc1,10,Ts,Ts,Ts
OTos,OS(=O)(=O)c1ccc(C)cc1,11,OTos,OTos,TosO
OTos,OS(=O)(=O)c1ccc(C)cc1,11,OTs,OTs,TsO
NHTos,NS(=O)(=O)c1ccc(C)cc1,11,NHTos,NHTos,TosHN
NHTos,NS(=O)(=O)c1ccc(C)cc1,11,NHTs,NHTs,TsHN
NHTos,NS(=O)(=O)c1ccc(C)cc1,11,Tosa,Tosa,Tosa
Boc,C(=O)OC(C)(C)C,7,Boc,Boc,Boc
Boc,C(=O)OC(C)(C)C,7,boc,boc,boc
Boc,C(=O)OC(C)(C)C,7,BOC,BOC,BOC
OBoc,OC(=O)OC(C)(C)C,8,OBoc,OBoc,BocO
NHBoc,NC(=O)OC(C)(C)C,8,NHBoc,NHBoc,BocHN
Ph,c1ccccc1,6,Ph,Ph,Ph
Ph,c1ccccc1,6,Phenyl,Phenyl,Phenyl
Bn,Cc1ccccc1,7,Bn,Bn,Bn
OBn,OCc1ccccc1,8,OBn,OBn,BnO
Bz,C(=O)c1ccccc1,8,Bz,Bz,Bz
Cbz,C(=O)OCc1ccccc1,10,Cbz,Cbz,Cbz
NHCbz,NC(=O)OCc1ccccc1,11,NHCbz,NHCbz,CbzHN
Fmoc,C(=O)OCC1c2ccccc2-c2ccccc21,17,Fmoc,Fmoc,Fmoc
TMS,[Si](C)(C)C,4,TMS,TMS,TMS
